0
"instruct when did virgin australia start ?oper context virgin ,australia the trad nam of virgin ...a respons virgin australia commenc servic on 31 ...augu categori _closedqa :nam ,0 :dtyp object"
"instruct which i a speci of ?fish top or rop context nan respons top categori classif :nam ,1 :dtyp object"
"instruct if i hav a ,dollar two nickel and a ,...quarter context nan respons $.135 categori _openqa :nam ,4876 :dtyp object"
"instruct pleas summar “the decision” that lebron ...ja context jam becam an unrestrt free agent at :...12 respons in ,2010 lebron jam becam an unrestrt ...f categori summar :nam ,4877 :dtyp object"
"instruct why do muscl twitch (or )?twing context nan respons muscl twitch could be rel to too much ...str categori _generalqa :nam ,4878 :dtyp object"
"instruct why do peopl lik to ?workout context nan respons peopl lik to workout for a varieti of ...differ categori _generalqa :nam ,4879 :dtyp object"
"instruct what i sak and how i it ?mad context nan respons sak i an alcohol beverag that origin ... categori _generalqa :nam ,4880 :dtyp object"
"instruct tell me whether thes ar mammal or :...reptil context nan respons :dog \:mammalncrocodil \:reptilent \...mammaln categori classif :nam ,4881 :dtyp object"
"instruct which of the follow citi ar the capit ... context nan respons the follow citi ar the capit of a ...prov categori classif :nam ,4882 :dtyp object"
"instruct who i shigeru context nan respons shigeru i a famou video gam .develop he ...i categori _openqa :nam ,4883 :dtyp object"
"instruct which i a bird or :fish -redback ,shrik ...re context nan respons red salmon i a ,fish -redback shrik i a bird categori classif :nam ,4884 :dtyp object"
"instruct will you sai sorri to your ?kid context nan respons when i wa a ,child my mom never apolog ...to categori _creativewt :nam ,4885 :dtyp object"
"instruct classifi each of the follow object a ...eith context nan respons heavi weight object :includ ,aircraft ,bear ... categori classif :nam ,4886 :dtyp object"
"instruct how long wa the ?titan context nan respons the rm titan wa 882 feet .long the ...titan categori _generalqa :nam ,4887 :dtyp object"
"instruct fiv reason to watch good doctor context nan respons it ha bal between the medicin and the ...hu categori brainstorm :nam ,4888 :dtyp object"
"instruct what i -parisbrt nam ?after context the round ,pastri in the form of a ,wheel wa ... respons -parisbrt i a round french ,pastri usual ... categori summar :nam ,4889 :dtyp object"
"instruct given a refer text that provid the ...geogr context asia i the largest contin on .earth it ...cov respons 5 categori _closedqa :nam ,4890 :dtyp object"
"instruct 'im sort my fresh food into two .group ...whi context nan respons ,potato broccoli and spinach ar .veget ...a categori classif :nam ,4891 :dtyp object"
"instruct what i aerial yoga context aerial yoga i a hybrid typ of yoga ...develop respons aerial yoga i i the process of hang from ... categori summar :nam ,4892 :dtyp object"
"instruct list 10 best switch gam of all .tim context nan respons accord to the metacrit ,websit the top ...1 categori _generalqa :nam ,4893 :dtyp object"
"instruct how did kdrama becom so ?popular context nan respons korean drama or kdrama hav been popular ...for categori _generalqa :nam ,4894 :dtyp object"
"instruct tell me about the schoenbrunn palac context schönbrunn palac (:german schloss schönbrunn ... respons schoenbrunn palac wa the main summer ...residen categori summar :nam ,4895 :dtyp object"
"instruct with the ris of larg languag ,model ...chatgp context nan respons first of ,all chatgpt real greatli ...increas categori _creativewt :nam ,4896 :dtyp object"
"instruct pleas giv me a short bullet list of the ...pr context main branch of \engineeringnfor a topic ...gu respons chemic ,engin civil ,engin ...elect categori summar :nam ,4897 :dtyp object"
"instruct pleas giv me a list of popular street food ... context \bungeoppangtthi -fishshap bun fill with ... respons ,bungeoppang ,eomuk ,hotteok ,hoppang ...tteokbok categori summar :nam ,4898 :dtyp object"
"instruct why do peopl lik ?sport context nan respons mani peopl lik to plai and watch sport in ...t categori _generalqa :nam ,4899 :dtyp object"
"instruct from the passag not down the variou them ... context harri potter i a seri of seven fantasi ...nov respons ,death ,prejudic ,corrupt mad categori _informationextract :nam ,4900 :dtyp object"
"instruct in the seri a song of ic and ,fir who i ...t context nan respons uthor of the high tower categori _openqa :nam ,4901 :dtyp object"
"instruct what i ?genet context nan respons genet i the studi of ,gen genet ...variat categori classif :nam ,4902 :dtyp object"
"instruct what ar the word of hous ?frei context nan respons ""we stand ""togeth categori _openqa :nam ,4903 :dtyp object"
"instruct it real depend on wher you will rid the ...b context nan respons mor than just the budget you should also ...con categori _generalqa :nam ,4904 :dtyp object"
"instruct classifi each of the follow a ""can ""fly ...or context nan respons :kit can \:flynbird can \:flyndog 'cant \...flyn categori classif :nam ,4905 :dtyp object"
"instruct tell me if thes ar brand or :compani ...klee context nan respons it can be diffict to know if someth i a ... categori classif :nam ,4906 :dtyp object"
"instruct given thi paragraph about compos arvo ,...pärt context 'pärt music educ began at the ag of ... respons arvo pärt studi composit at the tallinn ...c categori _closedqa :nam ,4907 :dtyp object"
"instruct what ar the word of hous ?royc context nan respons ""we ""rememb categori _openqa :nam ,4908 :dtyp object"
"instruct who i mother ?teresa context nan respons mother teresa wa wa an -albanianindian ...catho categori _generalqa :nam ,4909 :dtyp object"
"instruct classifi each of the follow anim a a ...car context nan respons :carnivor ,tiger \:wolverinenomnivor ,bear ... categori classif :nam ,4910 :dtyp object"
"instruct giv me a list of amaz nois cancell ...hea context nan respons .1 soni -wh1000xm5 - amaz for great music ...a categori brainstorm :nam ,4911 :dtyp object"
"instruct categor each of the vehicl a a ,car ...truc context nan respons tesla model :3 \carnford :f150 \trucknchevi ...si categori classif :nam ,4912 :dtyp object"
"instruct who i ?rihanna context robyn rihanna fenti (born februari ,20 )1988 ...i respons rihanna (robyn rihanna )fenti i a ,singer ...act categori _closedqa :nam ,4913 :dtyp object"
"instruct what i the genomi aggreg databais (...gen context nan respons the genom aggreg databas ()genomad i ...a categori _openqa :nam ,4914 :dtyp object"
"instruct wher wa the first publicli fund civil ?park context nan respons the first publicli fund civil park i ...genera categori _openqa :nam ,4915 :dtyp object"
"instruct from the ,text provid me with the number of ...m context michael fred phelp []ii5 (born jun ,30 )...1985 respons michael phelp won 6 medal in the 2016 ...olympi categori _informationextract :nam ,4916 :dtyp object"
"instruct the girl wa wear a red dress whilst her ...fr context nan respons the girl wa wear a red .dress categori _generalqa :nam ,4917 :dtyp object"
"instruct identifi which anim i domest or :...wild context nan respons red deer i ,wild hors i domest categori classif :nam ,4918 :dtyp object"
"instruct i it import to hav ?friend context nan respons ,ye it i import to hav .friend friend ... categori _generalqa :nam ,4919 :dtyp object"
"instruct why ar the green bai packer call the ?packer context need to outfit hi new ,squad team founder ... respons the green bai packer ar call the packer ...b categori _informationextract :nam ,4920 :dtyp object"
"instruct how should i pick a nam for my ?babi context nan respons onli you can decid ,that but ther ar som ...q categori _generalqa :nam ,4921 :dtyp object"
"instruct how do i find the best interior decor and ... context nan respons ther ar mani wai to find the best interior ... categori _openqa :nam ,4922 :dtyp object"
"instruct can you us logist regress and linear ...reg context nan respons even if the target i ,binari we can still ...us categori brainstorm :nam ,4923 :dtyp object"
"instruct identifi which instru i string or ...woodwin context nan respons zither i ,string khlui i .woodwind categori classif :nam ,4924 :dtyp object"
"instruct what’ the offici languag in ?brazil context nan respons portugues i the offici languag in ,...brazil categori _generalqa :nam ,4925 :dtyp object"
"instruct pleas describ what combat wa lik in world ... context world war i wa fought on mani front around ...t respons world war 1 wa fought in ,europ the ,...pacif categori summar :nam ,4926 :dtyp object"
"instruct what ar som common typ of snak ?plant context nan respons snak plant com in mani .varieti som ...comm categori brainstorm :nam ,4927 :dtyp object"
"instruct identifi which anim speci i al or ...exti context nan respons swift fox i ,al thylacosmilu i extinct categori classif :nam ,4928 :dtyp object"
"instruct what ar the main reason for the pric of a ...g context nan respons pric of good in a capitalt societi ar ...co categori _openqa :nam ,4929 :dtyp object"
"instruct what doe bmw stand ?for context nan respons bayerisch motoren werk categori _openqa :nam ,4930 :dtyp object"
"instruct which i a speci of ?fish velvetfish or cotton context nan respons velvetfish categori classif :nam ,4931 :dtyp object"
"instruct giv me a few differ wai to reduc my ...hou context nan respons ther ar mani wai to reduc your ...electr categori brainstorm :nam ,4932 :dtyp object"
"instruct what wer atari gam ?consol context nan respons gam consol from :\\-atarinn atari \-...2600n categori brainstorm :nam ,4933 :dtyp object"
"instruct classifi the nam of the presid bas on ... context nan respons india - droupadi ,murmu ram nath ,kovind .a ....p categori classif :nam ,4934 :dtyp object"
"instruct classifi which color ar shad or red or ...pur context nan respons :red ,burgundi ,brick ,rust ,maroon ,rubi ...card categori classif :nam ,4935 :dtyp object"
"instruct giv me a good french win with chees context nan respons most of the tim a red win would be ...recommend categori _openqa :nam ,4936 :dtyp object"
"instruct what ar the primari caus of ?infl context nan respons in ,econom infl i the growth rat of ... categori _openqa :nam ,4937 :dtyp object"
"instruct who wa the italian dict respons for ...i context nan respons benito mussolini categori _openqa :nam ,4938 :dtyp object"
"instruct from given ,text pleas jot down som point ...a context he wa the democrat leader of the stat ...sena respons .1 from 1996 to ,2008 richard .d young serv ... categori summar :nam ,4939 :dtyp object"
"instruct provid few tip and techniqu for partner ...ec context nan respons partner enabl involv provid your ...bu categori brainstorm :nam ,4940 :dtyp object"
"instruct doe irina korzhanenko still hav her gold ?medal context at the 2004 summer ,olymp she origin ...wo respons ,ye although she wa strip of the medal ...sh categori _closedqa :nam ,4941 :dtyp object"
"instruct bas on the paragraph ,below what ar som ...ke context system \designnto build an oltp ,system a ...de respons the design of an oltp system must ensur ...tha categori summar :nam ,4942 :dtyp object"
"instruct who i the best soccer player of all ?tim context nan respons pel i the biggest player of all ,tim he ...won categori classif :nam ,4943 :dtyp object"
"instruct how to plan a lakehous migr ?journei context nan respons .1 the discoveri :phas ask intern ...question categori _openqa :nam ,4944 :dtyp object"
"instruct what ar som gam you can plai in the ...middl context nan respons ther ar the classic gam you can alwai ...pla categori brainstorm :nam ,4945 :dtyp object"
"instruct given the current bank crisi we ar ...experi context nan respons whil ther ar som similar between ...2023 categori _generalqa :nam ,4946 :dtyp object"
"instruct classifi the follow a a ''triangl or '...not context nan respons '',triangl '',triangl '',triangl 'not a ...tri categori classif :nam ,4947 :dtyp object"
"instruct hindi diwa i observ everi year on which ?dat context nan respons septemb 14 categori _openqa :nam ,4948 :dtyp object"
"instruct list the pixar movi that wer nomin for ... context pixar ha produc 26 featur ,film start ... respons ,monster .inc (),2001 car (),2006 ...incred categori _informationextract :nam ,4949 :dtyp object"
"instruct what ar the best superhero movi of 2022 ? context nan respons the number of superhero movi produc year ...a categori brainstorm :nam ,4950 :dtyp object"
"instruct marburg viru diseas belong to the sam ...fami context nan respons ebola categori _openqa :nam ,4951 :dtyp object"
"instruct pleas extract the characterist of a ...desert context a desert i a region of land that i veri dry ... respons -veri dry \-nlittl coverag by plant categori _informationextract :nam ,4952 :dtyp object"
"instruct from the follow ,list categor the what ...c context nan respons ,mexico ,india unit ,stat ,itali ,mexico ...f categori classif :nam ,4953 :dtyp object"
"instruct who wa chairman of the board of director of ... context the compani wa incorpor a tesla ,motor ... respons elon musk categori _closedqa :nam ,4954 :dtyp object"
"instruct from the text below about the histori of ...peanu context the earliest refer to peanut butter can ...b respons the earliest refer to peanut butter can ...be categori _closedqa :nam ,4955 :dtyp object"
"instruct what i ?vanlif context nan respons vanlif refer to someon who primarili liv ... categori _generalqa :nam ,4956 :dtyp object"
"instruct which golf tourna ar consid major ...i context nan respons the ,master the ..u ,open the open ...champion categori _openqa :nam ,4957 :dtyp object"
"instruct how mani slic ar in a larg ?pizza context nan respons ther ar 8 slic of pizza in a larg pizza ...p categori _generalqa :nam ,4958 :dtyp object"
"instruct given thi paragraph about ,magnesium what i ... context magnesium i a chemic el with the ...symbo respons mg i the el symbol of .magnesium categori _closedqa :nam ,4959 :dtyp object"
"instruct ar thei communt :countri ,afghanistan ...alb context nan respons ,china ,cuba ,lao ,vietnam north korea categori classif :nam ,4960 :dtyp object"
"instruct what i the best watch in the world ? context nan respons no on watch qualifi a .best it depend on ... categori _creativewt :nam ,4961 :dtyp object"
"instruct which u astront that land on the moon ...we context nan respons sinc 'nasa form in ,1958 181 of the ...320 categori _openqa :nam ,4962 :dtyp object"
"instruct which i a speci of ?fish grass carp or grass context nan respons grass carp categori classif :nam ,4963 :dtyp object"
"instruct what ar crawfish and how do you eat ?them context nan respons crawfish ar consid a stapl of cajun ...cui categori _generalqa :nam ,4964 :dtyp object"
"instruct why i football a popular spect ?sport context nan respons football i an excit gam that i fun for ...p categori _generalqa :nam ,4965 :dtyp object"
"instruct what i -?kpop context -,kpop short for korean popular ,music i a ...fo respons -kpop i an acronym for korean pop .music it ...i categori summar :nam ,4966 :dtyp object"
"instruct summar brown .v board of educ of ...top context brown .v board of educ of ,topeka 347 ....u respons brown .v the board of educ of topeka ...wa categori summar :nam ,4967 :dtyp object"
"instruct what i a ?zerbert context nan respons a zerbert i the act of touch lip on the ... categori _generalqa :nam ,4968 :dtyp object"
"instruct tell me about the qingdao qianwan contain ...te context qingdao qianwan contain termin i a port ...o respons the qingdao qianwan contain termin i a ...po categori summar :nam ,4969 :dtyp object"
"instruct given the refer ,text what i log ...rot context log rot i an autom process us in ... respons in inform ,technologi log rot i an ... categori _closedqa :nam ,4970 :dtyp object"
"instruct in the seri a song of ic and ,fir who i ...t context nan respons torr teagu categori _openqa :nam ,4971 :dtyp object"
"instruct i ther a fiction book and tv show by the ...n context nan respons ye categori classif :nam ,4972 :dtyp object"
"instruct who wa the first presid of the unit ?stat context nan respons georg washington categori _openqa :nam ,4973 :dtyp object"
"instruct why do peopl lik to drink ?tea context nan respons peopl enjoi drink tea for mani .reason ...dr categori _generalqa :nam ,4974 :dtyp object"
"instruct who i paul mciver context paul mciver (born 26 march )1986 i a new ...zeal respons paul mciver (born 26 march )1986 i a new ...zeal categori summar :nam ,4975 :dtyp object"
"instruct how i lif lik liv on the pacif north ...w context nan respons liv on the west coast ha mani .benet ...al categori _generalqa :nam ,4976 :dtyp object"
"instruct what i the best wai to feel peaceful in your ... context nan respons do not expect anyth from .other don’t ...exp categori _openqa :nam ,4977 :dtyp object"
"instruct classifi the follow number into ,natur ...r context nan respons :natur \:1nrat ,1 ,0 -,10 (),root25 /...67 categori classif :nam ,4978 :dtyp object"
"instruct who wa the first actor to plai the joker on ...t context césar julio romero .jr (februari ,15 1907 – ...ja respons césar julio romero .jr played wa the first ...ac categori _informationextract :nam ,4979 :dtyp object"
"instruct identifi the bird from the :list -bartail ...go context nan respons -bartail godwit categori classif :nam ,4980 :dtyp object"
"instruct what i ?merlot context merlot (//ˈmɜːrloʊ -)murloh i a dark ...blue–col respons merlot (//ˈmɜːrloʊ -)murloh i a dark ...blue–col categori _closedqa :nam ,4981 :dtyp object"
"instruct when did arsen first reach the first ...divisio context arsen wa the first club from the south of ...e respons arsen reach the first divis in .1904 ...be categori _closedqa :nam ,4982 :dtyp object"
"instruct summaris why lightweight row event wa at ... context the first lightweight event wer ad to ...the respons the programm commiss wa of the opin ...th categori summar :nam ,4983 :dtyp object"
"instruct what i a digit ?twin context nan respons a digit twin i a virtual represent of ... categori _generalqa :nam ,4984 :dtyp object"
"instruct nam som tv show that american actor david ...d context nan respons the -,xfil ,californ twin ,peak the ... categori _openqa :nam ,4985 :dtyp object"
"instruct why i kany sometim regard the goat (...grea context nan respons kany omari west ("""")ye i deb a being ...th categori _generalqa :nam ,4986 :dtyp object"
"instruct giv me a list of som differ summer ...holida context nan respons som summer holidai includ memori ,dai ...fou categori brainstorm :nam ,4987 :dtyp object"
"instruct giv me som idea of what to cook for ,...dinner context nan respons a a ,parent i hav som idea for quick ...weekn categori brainstorm :nam ,4988 :dtyp object"
"instruct writ me a thank you not for my -highschool ...t context nan respons thank you for being a support teacher and ...e categori _creativewt :nam ,4989 :dtyp object"
"instruct in what year wa the oakland ski club ?found context nan respons osc wa found in .1941 categori _openqa :nam ,4990 :dtyp object"
"instruct why breakfast i so import for the dai context nan respons becaus you ar break the fast after a ...long categori brainstorm :nam ,4991 :dtyp object"
"instruct extract from the text the film that the ...actor context primarili a charact ,actor harvei began hi ... respons the awful ,truth the petrifi ,forest father ... categori _informationextract :nam ,4992 :dtyp object"
"instruct why capri i so famou context nan respons capri i famou italian island for 'it nic ...o categori brainstorm :nam ,4993 :dtyp object"
"instruct giv me a list of ten mayan ruin to visit in ... context nan respons - chichen itza in \-mexicon tikal in ...guatemala categori brainstorm :nam ,4994 :dtyp object"
"instruct choos the word which i differ from the ...re context nan respons all except oil ar product obtain from .milk categori classif :nam ,4995 :dtyp object"
"instruct i pluto a planet ? context nan respons 'pluto statu i the subject of extens ...deb categori _openqa :nam ,4996 :dtyp object"
"instruct what ar the nam of the main island of ...hawa context hawaii (//həˈwaɪi ()listen --;həwyee :...hawaiian respons ,hawaiʻi ,kahoʻolaw ,kauaʻi ,lānaʻi ,maui ...mol categori _informationextract :nam ,4997 :dtyp object"
"instruct given thi refer text about the career of ... context charl henri bromedg caldwell wa born in ...hi respons \\.essexnglaucusnr .r cuyler categori _closedqa :nam ,4998 :dtyp object"
"instruct what do thes seven thing hav to do with ...eac context nan respons the ar all object that ar mad of .water categori classif :nam ,4999 :dtyp object"
"instruct what typ of terrain i a gravel bik us ?for context a gravel bicycl i a typ of bicycl ...intend respons gravel bik ar a --doitall kind of .bik ...the categori _closedqa :nam ,5000 :dtyp object"
"instruct what i ?kefir context nan respons kefir i a ferment drink mad of .milk it ...i categori _generalqa :nam ,5001 :dtyp object"
"instruct given a refer text about our common ...futur context our common ,futur also known a the ...brundtlan respons the purpos of the our common futur report ...wa categori _closedqa :nam ,5002 :dtyp object"
"instruct what i the biggest passeng ?airlin context the airbu a380 i a larg -widebodi airlin ... respons a380 i the largest passeng .airlin it ...ha categori _closedqa :nam ,5003 :dtyp object"
"instruct who ar the greatest hockei player of all ?tim context nan respons the greatest hockei player of all tim ...includ categori brainstorm :nam ,5004 :dtyp object"
"instruct given thi paragraph about michel ,...warschawski context michel warschawski ()mikado (born 25 juli ...1949 respons michel ,warschawski an -antiziont ,activt ... categori _closedqa :nam ,5005 :dtyp object"
"instruct categor the below nam into fish and ...in context nan respons insect - ,ant ,bee ,wasp ,beetl ,butterfli ...m categori classif :nam ,5006 :dtyp object"
"instruct classifi the below plac bas on the ...countri context nan respons new ,jersei new ,york ,ohio oklahoma - \...usanko categori classif :nam ,5007 :dtyp object"
"instruct bas on thi paragraph about brazilian -...jiuji context bjj eventu cam to be it own defin ...comb respons -jiujitsu and judo categori _closedqa :nam ,5008 :dtyp object"
"instruct what i a hardwir smok ?detector context nan respons a smok detector i an alarm that i ...trigger categori _openqa :nam ,5009 :dtyp object"
"instruct how mani string guitar ?\havenhow guitar ...proj context the guitar i a fret music instru ...tha respons a typic guitar hav 6 string but ther ar ... categori _closedqa :nam ,5010 :dtyp object"
"instruct classifi each of the follow a a ,citi ...stat context nan respons :dalla \:citynbozeman \:citynkentucki \...staten categori classif :nam ,5011 :dtyp object"
"instruct what i the differ between affect and ?effect context nan respons affect i a ,verb and it mean to impact or ...ch categori _generalqa :nam ,5012 :dtyp object"
"instruct which author creat dick traci context nan respons chester gould categori _openqa :nam ,5013 :dtyp object"
"instruct from the passag ,provid extract the net ...ret context nan respons nrr %158 categori _generalqa :nam ,5014 :dtyp object"
"instruct how mani episod i lost the tv ?seri context lost i an american scienc fiction drama ...tel respons lost ha 6 season with 121 .episod categori summar :nam ,5015 :dtyp object"
"instruct which author wrot the --‘winniethepooh’ ?book context nan respons .a .a miln categori _openqa :nam ,5016 :dtyp object"
"instruct in casablanca what i the nam of the nightclub context nan respons 'rick categori _openqa :nam ,5017 :dtyp object"
"instruct what typ of movi i ?nop context nan respons nop i a -sciencefict horror movi ...releas categori classif :nam ,5018 :dtyp object"
"instruct what ar the fiv best sport car to bui ...righ context nan respons assum now author dealer markup (),...adm categori brainstorm :nam ,5019 :dtyp object"
"instruct what i a ?crm context nan respons custom relationship manag i a process ... categori _creativewt :nam ,5020 :dtyp object"
"instruct creat a dialogu between two charact ...discu context nan respons :glen "",man 'iv been feel terr ....lat categori _creativewt :nam ,5021 :dtyp object"
"instruct giv me a list of import thing to tak on ... context nan respons 'her a list of most import thing you ...nee categori _generalqa :nam ,5022 :dtyp object"
"instruct given thi refer ,paragrah who direct ""...t context the man in the saddl (:german der mann im ...sat respons harri piel categori _closedqa :nam ,5023 :dtyp object"
"instruct what i an exchang trad fund ()etf context nan respons it a collect of asset that trad on an ...e categori _openqa :nam ,5024 :dtyp object"
"instruct wher i the econom independ museum loc context isbank museum i a museum in ,ankara .turkei ...t respons the isbank museum i a museum in ,ankara ...turk categori summar :nam ,5025 :dtyp object"
"instruct what i the main sourc of electr ...genet context accord to the intern energi ,ag ... respons the electr product in franc i ...domina categori _informationextract :nam ,5026 :dtyp object"
"instruct classifi the follow into anim and ...plant context nan respons the classif can be seen :\-belown ...anima categori _generalqa :nam ,5027 :dtyp object"
"instruct provid me with a list of boi nam that ar ...c context nan respons boi nam that ar current popular includ ...l categori brainstorm :nam ,5028 :dtyp object"
"instruct nam three cre wai to util plastic ...wr context nan respons .1 if you hav wound in your bodi and want ...to categori brainstorm :nam ,5029 :dtyp object"
"instruct what i the largest citi in the ?world context a citi can be defin by it administr ...bo respons ,choingq china i the largest citi proper ...i categori _closedqa :nam ,5030 :dtyp object"
"instruct pleas writ a travel plan to lo .angel context nan respons la i the second largest citi in ,america and ... categori _creativewt :nam ,5031 :dtyp object"
"instruct from which countri i the aurora boreali ...v context an []auroraa (:pl aurora or ),[]auroraeb ...also respons the aurora boreali i vis from area ...arou categori _informationextract :nam ,5032 :dtyp object"
"instruct classifi the below devic bas on the brand ... context nan respons ,iphon ,ipad macbook - \applenpixel watch - ...g categori classif :nam ,5033 :dtyp object"
"instruct what season i the best season to visit ?chicago context nan respons the best 90 dai of the year in chicago i ...sum categori _creativewt :nam ,5034 :dtyp object"
"instruct given the refer text ,below what i air ...jo context air jordan i a lin of basketball shoe and ...a respons air jordan i a lin of basketball shoe ...produ categori _closedqa :nam ,5035 :dtyp object"
"instruct i three bodi problem ?solv context nan respons ther i no gener clos form solut to ...th categori classif :nam ,5036 :dtyp object"
"instruct what sound wa 'thi mortal 'coil known ?for context thi mortal coil wer a british music ...collecti respons thi mortal coil known for it ,gothic dream ...p categori _closedqa :nam ,5037 :dtyp object"
"instruct nam som of the top soccer player context nan respons \\\\pelenmessinronaldonronaldinhonzinedin ...zid categori _openqa :nam ,5038 :dtyp object"
"instruct which of the follow countri ar in ...europ context nan respons ,austria spain and greec ar in .europ ...nicar categori classif :nam ,5039 :dtyp object"
"instruct what ar som good techniqu for cook a ...st context nan respons most would agre that the most import ...elem categori _generalqa :nam ,5040 :dtyp object"
"instruct explain why kei west i a great loc for ...a context nan respons kei west i a great plac to go for variou ...re categori _creativewt :nam ,5041 :dtyp object"
"instruct provid a ,short bullet summari of what ...hist context sinc the conclus of the war of ,1812 ...histo respons differ historian believ the war of 1812 ...w categori summar :nam ,5042 :dtyp object"
"instruct which roman gener wa conspir against and ... context nan respons juliu cesar categori _openqa :nam ,5043 :dtyp object"
"instruct what i the differ between basketball and ... context nan respons basketball and netball ar ,similar but the ...te categori _openqa :nam ,5044 :dtyp object"
"instruct ar dog carnivor or ?omnivor context nan respons ,well 'theyr omnivor sinc dog eat both ...pl categori classif :nam ,5045 :dtyp object"
"instruct which i a speci of ?fish trout or bear context nan respons trout categori classif :nam ,5046 :dtyp object"
"instruct how do i maintain ?friendship context nan respons friendship flourish when you put effort into ... categori _generalqa :nam ,5047 :dtyp object"
"instruct what i ?http context nan respons hypertt transfer protocol ()http i a ...method categori _openqa :nam ,5048 :dtyp object"
"instruct why santorini i famou context nan respons becaus it ha nic beach and mountain ...resor categori brainstorm :nam ,5049 :dtyp object"
"instruct given thi paragraph about ,singapor who wa ... context after being expell from ,malaysia singapor ... respons yusof bin ishak categori _closedqa :nam ,5050 :dtyp object"
"instruct what i ?freedom context nan respons freedom could mean someth differ for ...ev categori _generalqa :nam ,5051 :dtyp object"
"instruct how mani provinc contain the word ?‘holland’ context nan respons ther ar 6 provinc in the netherland that ... categori _openqa :nam ,5052 :dtyp object"
"instruct tell me whether thes stat and provinc ...ar context nan respons :alabama \:usanontario \canadanbritish ...columbi categori classif :nam ,5053 :dtyp object"
"instruct what ar som idea for a birthdai ...celebr context nan respons birthdai celebr for 4 -yearold boi ar ... categori brainstorm :nam ,5054 :dtyp object"
"instruct given the refer text about mother '...teresa context mother teresa ,said ""by ,blood i am .albanian ... respons mother teresa wa fluent in fiv ,languag ...na categori _closedqa :nam ,5055 :dtyp object"
"instruct writ som import point regard famili ...j context the famili justic ,council establish in ...200 respons .1 the judici offic of england and wal ...sp categori summar :nam ,5056 :dtyp object"
"instruct 'what the hardest ?miner context nan respons diamond i the hardest miner on .earth categori _openqa :nam ,5057 :dtyp object"
"instruct bas on the refer ,text what color do ...th context the tampa bai rowdi ar an american ...professi respons the tampa bai rowdi wear green and yellow ...an categori _closedqa :nam ,5058 :dtyp object"
"instruct which brand doe gee ?own context zhejiang gee hold group .,co ltd (),zgh ...c respons chines automot compani gee own brand ... categori _informationextract :nam ,5059 :dtyp object"
"instruct who i the best tenni player of all ?tim context nan respons to nam the best tenni player of all tim i ... categori _generalqa :nam ,5060 :dtyp object"
"instruct who i better : superman or ?batman context nan respons when it com down to ,it in everi ,aspect ...sup categori _openqa :nam ,5061 :dtyp object"
"instruct nam som famou basketball player from the ...1 context nan respons oscar ,robertson georg ,mikan john ,havlicek ... categori _openqa :nam ,5062 :dtyp object"
"instruct classifi each of the follow countri a ...mi context nan respons :afghanistan middl \:easternniraq middl ...east categori classif :nam ,5063 :dtyp object"
"instruct i the capit citi and the largest citi of ...ch context ,[]chilea offici the republ of ,[]...chileb respons thei ar the .sam .santiago categori _closedqa :nam ,5064 :dtyp object"
"instruct extract when wer the univers of ...palencia context the 13th centuri also wit the crown of ...a respons the univers of palencia wa establish ...bet categori _informationextract :nam ,5065 :dtyp object"
"instruct help me with spend a dai in new .delhi i lik ... context nan respons north india ha a lot to offer for an ...aesthet categori brainstorm :nam ,5066 :dtyp object"
"instruct can car hav odd number of ?wheel context nan respons car ar vehicl that allow you to commut ...fr categori brainstorm :nam ,5067 :dtyp object"
"instruct given a refer text about elk ,grov what ... context elk grov i a citi in sacramento ,counti ...cali respons elk grov i a citi in california and ha a ...po categori _closedqa :nam ,5068 :dtyp object"
"instruct what profession baseball team i bas out ...o context nan respons the seatttl marin ar part of the ...american categori _openqa :nam ,5069 :dtyp object"
"instruct writ a short stori about a young aborigin ...m context nan respons the young man stood apart from the other ...young categori _creativewt :nam ,5070 :dtyp object"
"instruct what i a bicamer ?legislatur context nan respons a legisl bodi compris of two separ ...c categori _openqa :nam ,5071 :dtyp object"
"instruct why i the sky ?blue context nan respons all the light in our daytim sky com from ...th categori _generalqa :nam ,5072 :dtyp object"
"instruct how will artifici intellig chang the ...ed context nan respons if us ,correctli artifici intellig ...wil categori _generalqa :nam ,5073 :dtyp object"
"instruct writ a short stori about a person who ...discov context nan respons onc upon a ,tim ther wa a librarian nam ... categori _creativewt :nam ,5074 :dtyp object"
"instruct why i santa fe new mexico such a great plac ... context nan respons santa fe new mexico ha mani wonderful ...qual categori _creativewt :nam ,5075 :dtyp object"
"instruct what kind of merchant ship would be useful ...in context nan respons two broad categori of merchant ship would ...l categori classif :nam ,5076 :dtyp object"
"instruct which classic compos wrot the hungarian ...r context nan respons franz liszt categori _openqa :nam ,5077 :dtyp object"
"instruct classifi each of the follow peopl a an ...ac context nan respons adam :sandler \actornharri :kan \...athletenhugo categori classif :nam ,5078 :dtyp object"
"instruct what i the most popular ?sport context nan respons thi depend on wher you ,liv but football ...i categori _openqa :nam ,5079 :dtyp object"
"instruct ar red ros typic consid an ...appropri context nan respons ,ye a bouquet of red ros i a classic ...roman categori _openqa :nam ,5080 :dtyp object"
"instruct from the passag mention the award receiv ...b context sunil manohar gavaskar (marathi :...pronunci respons arjuna ,award padma ,bhushan induct into ...the categori _informationextract :nam ,5081 :dtyp object"
